t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
0.04,	62.7476063998,	27.0600064177,	0,	2283.5609771,	-1701.99658015,	421.905770992,	95.6587283568,	-112.693871741,	421.905770992
0.04,	-54.3176902647,	13.8138030195,	0,	2283.07062595,	-1706.13105344,	418.322625954,	89.1889345127,	-111.602659102,	418.322625954
0.04,	-54.3176902647,	13.8138030195,	0,	2282.58027481,	-1710.26552672,	414.739480916,	82.9779324224,	-110.555094968,	414.739480916
0.04,	-54.3176902647,	13.8138030195,	0,	2282.08992366,	-1714.4,	411.156335878,	77.0153704157,	-109.5494334,	411.156335878
0.04,	-14.2993280693,	43.2831599998,	0,	2280.59224427,	-1718.53447328,	419.689221374,	71.9250102625,	-107.405224015,	419.689221374
0.04,	-14.2993280693,	43.2831599998,	0,	2279.09456489,	-1722.66894656,	428.22210687,	67.0382645155,	-105.346783006,	428.22210687
0.04,	18.0227785258,	43.6501118196,	0,	2273.84787786,	-1726.80341985,	421.659725191,	60.040825534,	-103.356001564,	421.659725191
0.04,	18.0227785258,	43.6501118196,	0,	2268.60119084,	-1730.93789313,	415.097343511,	53.3232841116,	-101.44485138,	415.097343511
0.04,	27.703896233,	10.6400863611,	0,	2274.22717557,	-1735.07236641,	414.392061069,	57.69945394,	-100.930548221,	414.392061069
0.04,	27.703896233,	10.6400863611,	0,	2279.85316031,	-1739.20683969,	413.686778626,	61.9005769752,	-100.436817189,	413.686778626
0.04,	51.3132289296,	11.9972027617,	0,	2284.24280916,	-1743.34131298,	408.134167939,	65.6911459542,	-99.9085507421,	408.134167939
0.04,	51.3132289296,	11.9972027617,	0,	2288.63245802,	-1747.47578626,	402.581557252,	69.330092174,	-99.4014149531,	402.581557252
0.04,	51.3132289296,	11.9972027617,	0,	2293.02210687,	-1751.61025954,	397.028946565,	72.8234805449,	-98.9145645957,	397.028946565
0.04,	-64.6594522873,	18.1354581078,	0,	2296.17908397,	-1755.74473282,	405.078778626,	70.3548612469,	-98.2016580387,	405.078778626
